name,parent_road,name_en,highway,lat,lng
ถนนสิโรรส ซอยยะผา,ถนนสิโรรส,Siroros Road Soi Ypar,residential,6.571368,101.283417
ถนนสิโรรส ซอยรวมมุสลิม,ถนนสิโรรส,Siroros Road Soi Ruammuslim,residential,6.572589,101.298738
ถนนสิโรรส ซอยศรีจารู,ถนนสิโรรส,Siroros Road Soi Srijaru,residential,6.575662,101.299389
ถนนสิโรรส ซอยสองพี่น้อง,ถนนสิโรรส,Siroros Road Soi Songphinong,residential,6.566602,101.296367
ถนนสิโรรส ซอยสามัคคี,ถนนสิโรรส,,residential,6.556741,101.287346
ถนนสีโรรส ซอย แปเราะผาสุข,ถนนสีโรรส,Siroros Road Soi Paloaphasuk,residential,6.571697,101.295936
ถนนสีโรรส ซอยมัสยิด 1,ถนนสีโรรส,Siroros Road Soi Musayid 1,residential,6.57231,101.298694
ถนนสุขยางค์ ซอย 2,ถนนสุขยางค์,,tertiary,5.775978,101.068224
ถนนสุขยางค์ ซอยมิตรภาพ,ถนนสุขยางค์,Sukayang Road Soi Mitapap,residential,6.51968,101.281655
ถนนอาคารสงเคราะห์3 ซอย 1,ถนนอาคารสงเคราะห์3,Arkansongkoh 3 Road Soi 1,residential,6.543873,101.292675
ถนนอาคารสงเคราะห์ 4 ซอย 4,ถนนอาคารสงเคราะห์ 4,Akarnsongkhro 4 Road Soi 4,residential,6.541604,101.291993
ถนนอาคารสงเคราะห์ ซอยกฤตกร,ถนนอาคารสงเคราะห์,Akarnsongkhro Road Soi Kritakorn,residential,6.544186,101.288968
ถนนอาคารสงเคราะห์ ซอย เย็นอากาศ2,ถนนอาคารสงเคราะห์,Akarnsongkhro Road Soi Yenakat 2,residential,6.543784,101.288732
ผังเมือง 4 ซอย 14,ผังเมือง 4,Pung Muang 4 Soi 14,residential,6.537957,101.289597
ร่มเกล้า ซอย 13,ร่มเกล้า,Romklao Soi 13,residential,6.540989,101.308605
